Order Number,Order Date,Order Status,Order Payment Method,Order Shipping Method,Order Shipping,Order Discount,Order Grand Total,Total Qty Items Ordered,Customer Name,Customer Email,Shipping Name,Shipping Street,Shipping Zip,Shipping City,Shipping State,Shipping State Name,Shipping Country,Shipping Country Name,Shipping Phone Number,Item Name,Item SKU,Item Price,Item Qty Ordered,Item Total,Order remarks,Pay Order Number,Currency,Order Sources
100000008,2013-12-28 10:58,pending,1,1,$30.00 ,$0.00 ,"$4,568.33 ",7,stephen 105,admin@mystore.com,stephen 105,US,84,Cali,CA,California,US,United States,98734748,Morbi enim condi mentum,C1.01.140402@201,$454.00 ,1,$491.46 ,,,USD,5
100000008,2013-12-28 10:58,pending,1,1,$30.00 ,$0.00 ,"$4,568.33 ",7,stephen 105,admin@mystore.com,stephen 105,US,84,Cali,CA,California,US,United States,98734748,Configurable Product,C1.01.140402@200,$645.00 ,1,$645.00 ,,,USD,5
100000008,2013-12-28 10:58,pending,1,1,$30.00 ,$0.00 ,"$4,568.33 ",7,stephen 105,admin@mystore.com,stephen 105,US,84,Cali,CA,California,US,United States,98734748,Virtual Product,C1.01.140402@200,$130.00 ,1,$130.00 ,,,USD,5
100000007,2013-11-16 16:34,pending,1,1,$5.00 ,$0.00 ,"$1,042.31 ",2,stephen 105,admin@mystore.com,stephen 105,US,84,Cali,CA,California,US,United States,98734748,Downloadable Product,C1.01.140402@200,$902.00 ,1,$902.00 ,,,USD,5
100000007,2013-11-16 16:34,pending,1,1,$5.00 ,$0.00 ,"$1,042.31 ",2,stephen 105,admin@mystore.com,stephen 105,US,84,Cali,CA,California,US,United States,98734748, Retis lapen casen ,C1.01.140402@200,$125.00 ,1,$135.31 ,,,USD,5
100000006,2013-11-5 21:43,pending,1,1,$5.00 ,$0.00 ,$498.62 ,1,stephen 105,admin@mystore.com,stephen 105,US,84,Cali,CA,California,US,United States,98734748,Ut tincidunt tortor,C1.01.140402@200,$456.00 ,1,$493.62 ,,,USD,5
100000005,2013-11-5 11:39,pending,1,1,$30.00 ,$0.00 ,"$3,094.56 ",6,stephen 105,admin@mystore.com,stephen 105,US,84,Cali,CA,California,US,United States,98734748,Maecenas molestie,C1.01.140402@200,$300.00 ,3,$974.25 ,,,USD,5
100000005,2013-11-5 11:39,pending,1,1,$30.00 ,$0.00 ,"$3,094.56 ",6,stephen 105,admin@mystore.com,stephen 105,US,84,Cali,CA,California,US,United States,98734748,Aliquam sit amet leo,C1.01.140402@200,$900.00 ,2,"$1,948.50 ",,,USD,5
100000005,2013-11-5 11:39,pending,1,1,$30.00 ,$0.00 ,"$3,094.56 ",6,stephen 105,admin@mystore.com,stephen 105,US,84,Cali,CA,California,US,United States,98734748,Odio in pretium feugiat,C1.01.140402@200,$131.00 ,1,$141.81 ,,,USD,5
100000004,2013-8-11 12:35,pending,1,1,$15.00 ,$0.00 ,"$2,937.72 ",3,stephen 105,admin@mystore.com,stephen 105,US,84,Cali,CA,California,US,United States,98734748,"Apple MacBook Pro MA464LL/A 15.4"" Notebook PC",C1.01.140402@200,"$2,299.99 ",1,"$2,489.74 ",,,USD,5
100000004,2013-8-11 12:35,pending,1,1,$15.00 ,$0.00 ,"$2,937.72 ",3,stephen 105,admin@mystore.com,stephen 105,US,84,Cali,CA,California,US,United States,98734748,AT T 8525 PDA,C1.01.140402@200,$199.99 ,2,$432.98 ,,,USD,5
100000003,2012-8-15 23:06,complete,1,1,$70.00 ,$0.00 ,$626.96 ,14,stephen ngo,sophia@mystore.com,stephen ngo,"Ha noi, Viet Nam",2000,Ha Noi,,,VN,Vietnam,1688036933,Takin vase maki,C1.01.140402@200,$32.00 ,3,$96.00 ,,,USD,5
100000003,2012-8-15 23:06,complete,1,1,$70.00 ,$0.00 ,$626.96 ,14,stephen ngo,sophia@mystore.com,stephen ngo,"Ha noi, Viet Nam",2000,Ha Noi,,,VN,Vietnam,1688036933,CN Clogs Beach/Garden Clog,C1.01.140402@200,$15.99 ,4,$63.96 ,,,USD,5
100000003,2012-8-15 23:06,complete,1,1,$70.00 ,$0.00 ,$626.96 ,14,stephen ngo,sophia@mystore.com,stephen ngo,"Ha noi, Viet Nam",2000,Ha Noi,,,VN,Vietnam,1688036933,Casi maki torin,C1.01.140402@200,$6.00 ,2,$12.00 ,,,USD,5
100000003,2012-8-15 23:06,complete,1,1,$70.00 ,$0.00 ,$626.96 ,14,stephen ngo,sophia@mystore.com,stephen ngo,"Ha noi, Viet Nam",2000,Ha Noi,,,VN,Vietnam,1688036933,Sire takun maki,C1.01.140402@200,$77.00 ,5,$385.00 ,,,USD,5
100000002,2012-8-10 09:13,complete,1,1,$30.00 ,$0.00 ,$892.98 ,6,stephen ngo,sophia@mystore.com,stephen ngo,"Ha noi, Viet Nam",2000,Ha Noi,,,VN,Vietnam,1688036933,CN Clogs Beach/Garden Clog,C1.01.140402@200,$16.99 ,1,$16.99 ,,,USD,5
100000002,2012-8-10 09:13,complete,1,1,$30.00 ,$0.00 ,$892.98 ,6,stephen ngo,sophia@mystore.com,stephen ngo,"Ha noi, Viet Nam",2000,Ha Noi,,,VN,Vietnam,1688036933,Karin masen cutons,C1.01.140402@200,$46.00 ,1,$46.00 ,,,USD,5
100000002,2012-8-10 09:13,complete,1,1,$30.00 ,$0.00 ,$892.98 ,6,stephen ngo,sophia@mystore.com,stephen ngo,"Ha noi, Viet Nam",2000,Ha Noi,,,VN,Vietnam,1688036933,Kodak EasyShare C530 5MP Digital Camera,C1.01.140402@200,$199.99 ,1,$199.99 ,,,USD,5
100000002,2012-8-10 09:13,complete,1,1,$30.00 ,$0.00 ,$892.98 ,6,stephen ngo,sophia@mystore.com,stephen ngo,"Ha noi, Viet Nam",2000,Ha Noi,,,VN,Vietnam,1688036933,Canon Digital Rebel XT 8MP Digital SLR Camera,C1.01.140402@200,$550.00 ,1,$550.00 ,,,USD,5
100000002,2012-8-10 09:13,complete,1,1,$30.00 ,$0.00 ,$892.98 ,6,stephen ngo,sophia@mystore.com,stephen ngo,"Ha noi, Viet Nam",2000,Ha Noi,,,VN,Vietnam,1688036933,Kanes damon fanko,C1.01.140402@200,$25.00 ,2,$50.00 ,,,USD,5
100000001,2012-8-10 09:02,complete,1,1,$30.00 ,$0.00 ,"$1,242.96 ",6,stephen ngo,sophia@mystore.com,stephen ngo,"Ha noi, Viet Nam",2000,Ha Noi,,,VN,Vietnam,1688036933,CN Clogs Beach/Garden Clog,C1.01.140402@200,$16.99 ,1,$16.99 ,,,USD,5
100000001,2012-8-10 09:02,complete,1,1,$30.00 ,$0.00 ,"$1,242.96 ",6,stephen ngo,sophia@mystore.com,stephen ngo,"Ha noi, Viet Nam",2000,Ha Noi,,,VN,Vietnam,1688036933,Karin masen cutons,C1.01.140402@200,$46.00 ,1,$46.00 ,,,USD,5
100000001,2012-8-10 09:02,complete,1,1,$30.00 ,$0.00 ,"$1,242.96 ",6,stephen ngo,sophia@mystore.com,stephen ngo,"Ha noi, Viet Nam",2000,Ha Noi,,,VN,Vietnam,1688036933,Kodak EasyShare C530 5MP Digital Camera,C1.01.140402@200,$199.99 ,3,$599.97 ,,,USD,5
100000001,2012-8-10 09:02,complete,1,1,$30.00 ,$0.00 ,"$1,242.96 ",6,stephen ngo,sophia@mystore.com,stephen ngo,"Ha noi, Viet Nam",2000,Ha Noi,,,VN,Vietnam,1688036933,Canon Digital Rebel XT 8MP Digital SLR Camera,C1.01.140402@200,$550.00 ,1,$550.00 ,,,USD,5
